plan_id,name,type,difficulty,duration_min,target_goal,description
1,Morning Run Blast,cardio,beginner,30,weight_loss,A brisk morning running routine focused on burning calories and boosting metabolism through steady-state cardio.
2,Sprint Interval Training,cardio,advanced,25,endurance,High-intensity sprint intervals alternating with recovery jogs to build explosive speed and cardiovascular endurance.
3,Fat Burn Cycling,cardio,intermediate,40,weight_loss,Indoor cycling session with varying resistance levels designed for maximum fat oxidation and calorie burn.
4,Jump Rope Cardio,cardio,intermediate,20,weight_loss,Fast-paced jump rope workout combining single and double unders for cardio conditioning and coordination.
5,Stairclimber Endurance,cardio,beginner,35,endurance,Steady stairclimber workout building lower body endurance and cardiovascular fitness at moderate intensity.
6,Dance Cardio Party,cardio,beginner,45,weight_loss,"Fun dance-inspired cardio session mixing salsa, hip-hop, and aerobic moves for full-body calorie burn."
7,Rowing Power Session,cardio,advanced,30,endurance,Intense rowing intervals targeting cardiovascular capacity and full-body muscular endurance.
8,Trail Run Adventure,cardio,intermediate,50,endurance,"Outdoor trail running workout on varied terrain to build stamina, agility, and mental toughness."
9,Elliptical Fat Burner,cardio,beginner,35,weight_loss,Low-impact elliptical session with programmed intervals to burn fat while protecting joints.
10,Cardio Boxing Blast,cardio,intermediate,30,weight_loss,"Boxing-inspired cardio workout combining jabs, crosses, hooks, and footwork for total body conditioning."
11,Full Body Strength,strength,intermediate,45,muscle_gain,"Compound movement workout hitting all major muscle groups with squats, deadlifts, bench press, and rows."
12,Upper Body Power,strength,advanced,40,muscle_gain,"Heavy upper body session focusing on progressive overload for chest, shoulders, back, and arms."
13,Lower Body Builder,strength,intermediate,50,muscle_gain,"Leg-focused strength training with squats, lunges, leg press, and calf raises for muscle hypertrophy."
14,Core Strength Foundation,strength,beginner,25,muscle_gain,"Foundational core workout with planks, crunches, leg raises, and stability exercises for abdominal strength."
15,Dumbbell Total Body,strength,beginner,35,muscle_gain,"Accessible dumbbell-only workout covering all muscle groups, perfect for home or gym training."
16,Powerlifting Basics,strength,advanced,60,muscle_gain,"Focused powerlifting session on the big three: squat, bench press, and deadlift with heavy singles and triples."
17,Kettlebell Strength Flow,strength,intermediate,35,muscle_gain,"Dynamic kettlebell workout combining swings, cleans, presses, and Turkish get-ups for functional strength."
18,Bodyweight Strength,strength,beginner,30,muscle_gain,"No-equipment strength routine using push-ups, pull-ups, dips, and squats for progressive calisthenics training."
19,Olympic Lifting Intro,strength,advanced,55,muscle_gain,Introduction to Olympic lifts including clean and jerk and snatch variations for explosive power development.
20,Resistance Band Power,strength,beginner,25,muscle_gain,Resistance band workout providing variable tension for muscle activation and strength building anywhere.
21,Sunrise Yoga Flow,yoga,beginner,30,flexibility,"Gentle morning yoga sequence with sun salutations, warrior poses, and seated stretches for flexibility and calm."
22,Power Yoga Challenge,yoga,advanced,60,flexibility,"Demanding power yoga session with arm balances, inversions, and deep backbends for advanced practitioners."
23,Restorative Yoga,yoga,beginner,45,flexibility,"Deeply relaxing restorative yoga with supported poses, bolsters, and long holds for stress relief and recovery."
24,Yoga for Athletes,yoga,intermediate,40,flexibility,"Sport-specific yoga targeting hip openers, hamstring stretches, and shoulder mobility for athletic performance."
25,Vinyasa Flow,yoga,intermediate,50,flexibility,Flowing vinyasa sequence linking breath to movement through creative transitions and challenging holds.
26,Yin Yoga Deep Stretch,yoga,beginner,55,flexibility,Slow-paced yin yoga with passive floor poses held 3-5 minutes to target deep connective tissue and fascia.
27,Hot Yoga Intensity,yoga,advanced,60,flexibility,Bikram-inspired hot yoga series of 26 postures performed in heated room for deep flexibility and detoxification.
28,Chair Yoga Basics,yoga,beginner,20,flexibility,"Accessible chair-based yoga routine perfect for office workers, seniors, or those with mobility limitations."
